									事业部-SoldItem周报																						
Rfxno	Itemcode	IsNewSoldListing	Confirmdate	Productname	SourceType	产品审核类型Description	Isfactory	Isfreeship	Supplierid	Nickname_Seller	IsNewSeller	IsBlackSeller	Buyerid	Nickname_Buyer	IsNewbuyer	Visitfromtype	买家类别	买家级别	S_Country	发布类目ID_1	发布类目ID_2	发布类目ID_3	发布类目ID_4	发布类目Name_4	订单来源	订单GMV	Sold Item	Sold Item Inc Lots	ProductPrice	Totalpriceofproduct	产品GMV	
0	181679772	N	2014/8/23	2014 Amazing In Stock Cocktail Dresses A-Line Crew...	0	0	1	Y	ff8080812f2de36a012f436d1a540198	magicdress2011	N	N	ff8080813f5a8c77013f5d2f2b773b0d	jubilantjade	N	bm|00 DHgate e PS MAC|1031854264|paid_search|adcenter|dhgate com|00 DHgate PS MAC|bing||00||www	Purchase for company	Others	US	002	002009	002009004	002009004	Cocktail Dresses	bm%7C00%20DHgate%20e%20PS%20AW%7C23678861952%7Cpaid_search%7Cadwords%7Cdhgate%7C00%20DHgate%20PS%20AW%7CHC%7Ct%7CExact%7C	650	11	11	637.67	637.67	650	
1462726980	175266159	N	2014/8/24	2014 Hot sale Black sexy one shoulder floor length...	0	0	1	Y	ff80808120d7f1770120e6e3d7037ea4	beautydesign	N	N	ff808081454a8be901455fd60dbd446e	tripodi91	Y	bm|00 DHgate e PS AW|25396030152|paid_search|adwords|dh.gate|00 DHgate PS AW|HC|m|Exact||m.dhgate.com	4	Others	AU	002	002009	002009003	002009003	Celebrity Dresses	bm|00%20DHgate%20e%20PS%20AW|25396030152|paid_search|adwords|dhgate|00%20DHgate%20PS%20AW|HC|m|Exact||m.dhgate.com	129.55	1	1	129.55	129.55	129.55	
1462786782	176866176	N	2014/8/23	Custom Made kim kardashian Mermaid Sexy Wedding Dresses White Spaghetti Straps Trumpet Cascading Ruffle Sweep Train Bridal Gowns No Sleeve	0	0	1	Y	ff8080814159f18101416eaa11ee1842	davidbridal	N	N	ff80808146d0f11301470c8ed91641e6	Anita Wilson	Y	seo|||organic|google|wholesale bridesmaid dresses|www	End Consumer	Others	US	002	002001	002001001	002001001	A-Line Wedding Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|t|Exact|	140.6	1	1	140.6	140.6	140.6	
1462899814	192626486	Y	2014/8/22	Rhinestone Bride Shoes Red High-heeled Crystal Wedding Shoes Girls Photo Shoes	0	0	0	N	ff8080814549d36a0145997c5da77a55	main1019	N	N	ff8080814795f5aa01479e766ea1452a	Babeena	Y	seo|||organic|google|	End Consumer	Others	US	002	002008	002008011	002008011	Wedding Shoes		70	1	1	57.09	57.09	70	
1462949992	174396203	N	2014/8/21	2014 Wedding Dresses V Neck 3/4 Long Sleeves Sheer Lace Tulle Crystals Beaded Sash Court Train Mermaid Bridal Gowns JA8684	0	0	1	N	ff8080811f5fddde011f6418cfbd0f97	allanhu	N	N	ff80808147a068540147c001bead179d	Komkom	Y	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|t|Exact|	Reseller	Others	NG	002	002001	002001004	002001004	Mermaid Wedding Dresses	bm|00 DHgate e PS AW|23678861952|paid_search|adwords|dhgate|00 DHgate PS AW|HC|c|Exact|	292.7	1	1	159	159	292.7	
1462973395	182276544	N	2014/8/26	Vestido De Noiva Ball Gown Vintage Wedding Dresses Lace Crew Neck Illusion Sleeveless Button Zipper Beaded Lace Beach Bridal Gowns BO3039	0	0	1	N	ff8080811f457b8c011f56709bc04543	babyonline	N	N	ff808081257c94b9012589e37df234dd	noni83	N	txd%7Cbrand%7Cgoogle%7Cdhgate.com	Reseller	Others	SD	002	002001	002001002	002001002	Ball Gown Wedding Dresses		300	1	1	149.72	149.72	300	
1462983084	182024729	Y	2014/8/22	Custom made A line chiffon short bridesmaid dresses sequins beaded sexy backless sweetheart knee length cocktail party dresses BO4525	0	0	1	Y	ff80808120d7f1770120e6e3d7037ea4	beautydesign	N	N	ff80808147a151820147cb07f9ad7844	Ash Mack	Y	seo|||organic|google|	End Consumer	Others	US	002	002113	002113002	002113002	Bridesmaid Dress	seo|||organic|google|	89.5	1	1	89.5	89.5	89.5	
1463012862	124453324	N	2014/8/23	Chic Lace Edged Bridal Veils Floor Sweeping Wedding Veils One Layered JBY	0	0	1	N	ff80808130ff27f001310320a18a2c06	andybrial	N	N	ff80808137e9dd5201383965b8cd4bae	Dodo	N			Others	ZA	002	002008	002008002	002008002	Bridal Veils		257.66	1	1	46	426.6	27.78330989	
1463012862	141494374	Y	2014/8/23	2012 New Style Lovely Bridal Fans Lace Decorations Matched With Wonderful Wedding Dress DHgate	0	0	1	N	ff80808130ff27f001310320a18a2c06	andybrial	N	N	ff80808137e9dd5201383965b8cd4bae	Dodo	N			Others	ZA	002	002008	002008010	002008010	Fans & Parasols		257.66	1	1	13.11	426.6	7.918243319	
1463012862	141757594	N	2014/8/23	Best Selling 2012 Affordable Long Sleeve Lace Wedding Jackets For your Wedding Bridal Bolero jackets	0	0	1	N	ff80808130ff27f001310320a18a2c06	andybrial	N	N	ff80808137e9dd5201383965b8cd4bae	Dodo	N			Others	ZA	002	002008	002008006	002008006	Bridal Wraps & Jackets		257.66	1	1	40.34	426.6	24.36475481	
1463012862	144124680	N	2014/8/23	Best Selling Cute Ball Gown Wedding Petticoats Without Hoops Layered Pretty Bridal Crinolines New	0	0	1	N	ff80808130ff27f001310320a18a2c06	andybrial	N	N	ff80808137e9dd5201383965b8cd4bae	Dodo	N			Others	ZA	002	002008	002008004	002008004	Petticoats		257.66	1	1	18.88	426.6	11.40323676	
1463012862	194835613	N	2014/8/23	2014 Vintage Sweetheart Ball Gown Wedding Dresses Crystal Beaded Court Train Organza Wedding Gown Free Shipping	0	0	1	N	ff80808130ff27f001310320a18a2c06	andybrial	N	N	ff80808137e9dd5201383965b8cd4bae	Dodo	N			Others	ZA	002	002001	002001002	002001002	Ball Gown Wedding Dresses		257.66	1	1	308.27	426.6	186.1904552	
1463018403	178946024	N	2014/8/25	Sheer beaded straps Mermaid Prom Dresses crystals fitted on the bodice Floor Length Red Carpet Celebrity evening Gowns PT2760	0	0	1	N	ff8080811f45796a011f50e27d8d01c6	bestoffers	N	N	ff8080812d3be0b4012d5bd859430dc5	Amal	N	bm|14080800 Wedding Dresses Online PS AW|7433077408|paid_search|adwords|wedding dress online||WJY	End Consumer	Others	LB	002	002009	002009002	002009002	Prom Dresses		409.46	1	1	139	298.1	190.9256625	
1463018403	195551452	Y	2014/8/25	Short Cocktail/homecoming Dresses with High neck beading/crystals see through bodice open back Mini/short A line party dresses BL9850	0	0	1	N	ff8080811f45796a011f50e27d8d01c6	bestoffers	N	N	ff8080812d3be0b4012d5bd859430dc5	Amal	N	bm|14080800 Wedding Dresses Online PS AW|7433077408|paid_search|adwords|wedding dress online||WJY	End Consumer	Others	LB	002	002009	002009006	002009006	Homecoming Dresses		409.46	1	1	159.1	298.1	218.5343375	
1463026900	201973636	N	2014/8/22	Hot Selling 2014 New Arrival Fashion Crystal Gorgeous Shiny Bridal Tiaras &amp; Hair Accessories Free Shipping High Quality Cheap W20140001	0	0	1	Y	ff80808147102daf014756c853a860f3	in_love	N	N	ff808081415a21c00141745e1136260e	kasan66	N	bm|111003000000 Baby Clothes China KC PS AW|23592673348|paid_search|adwords|wholesale baby clothing china|111003000000 Baby Clothes KC PS AW|ZCC|c|b|111003000000||www	Purchase for company	Others	AU	002	002008	002008003	002008003	Tiaras & Hair Accessories	bm|aff|cj|7467749	19.32	2	2	19.32	19.32	19.32	
1463040654	175531698	N	2014/8/21	2014 New arrival Best selling Sweetheart A line Full length Chiffon Long Lilac Bridesmaid dresses Sexy prom gowns	0	0	1	Y	ff80808138a2cede0138c1ae63533a28	missuwedding	N	N	ff80808147a068530147d1785f173016	Diana62	Y	seo|||organic|google||www	End Consumer	Others	US	002	002113	002113002	002113002	Bridesmaid Dress	seo|||organic|google||www	85	1	1	85	85	85	
